year,max_laden_wt,type,number
2009,20001-26000kg,Tankers,254
2009,20001-26000kg,Cranes,46
2009,20001-26000kg,Recovery Vehicles,30
2009,20001-26000kg,Refrigerated Vehicles,5
2009,20001-26000kg,Others,503
2009,26001-32000kg,Lorries,868
2009,26001-32000kg,Tippers,2635
2009,26001-32000kg,Vans,0
2009,26001-32000kg,Goods-cum Passengers,0
2009,26001-32000kg,Articulated Vehicles,1
2009,26001-32000kg,Cement Mixers,186
2009,26001-32000kg,Tankers,106
2009,26001-32000kg,Cranes,47
2009,26001-32000kg,Recovery Vehicles,4
2009,26001-32000kg,Refrigerated Vehicles,4
2009,26001-32000kg,Others,412
2009,32001-40000kg,Lorries,194
2009,32001-40000kg,Tippers,3
2009,32001-40000kg,Vans,0
2009,32001-40000kg,Goods-cum Passengers,0
2009,32001-40000kg,Articulated Vehicles,2
2009,32001-40000kg,Cement Mixers,582
2009,32001-40000kg,Tankers,57
2009,32001-40000kg,Cranes,95
2009,32001-40000kg,Recovery Vehicles,0
2009,32001-40000kg,Refrigerated Vehicles,0
2009,32001-40000kg,Others,63
2009,40001-50000kg,Lorries,0
2009,40001-50000kg,Tippers,0
2009,40001-50000kg,Vans,0
2009,40001-50000kg,Goods-cum Passengers,0
2009,40001-50000kg,Articulated Vehicles,4036
2009,40001-50000kg,Cement Mixers,0
2009,40001-50000kg,Tankers,0
2009,40001-50000kg,Cranes,133
2009,40001-50000kg,Recovery Vehicles,5
2009,40001-50000kg,Refrigerated Vehicles,0
2009,40001-50000kg,Others,0
2009,> 55000kg,Lorries,0
2009,> 55000kg,Tippers,0
2009,> 55000kg,Vans,0
2009,> 55000kg,Goods-cum Passengers,0
2009,> 55000kg,Articulated Vehicles,619
2009,> 55000kg,Cement Mixers,0
2009,> 55000kg,Tankers,0
2009,> 55000kg,Cranes,74
2009,> 55000kg,Recovery Vehicles,2
2009,> 55000kg,Refrigerated Vehicles,0
2009,> 55000kg,Others,0
2010,<= 3500 kg,Lorries,31993
2010,<= 3500 kg,Tippers,2
2010,<= 3500 kg,Vans,60350
2010,<= 3500 kg,Goods-cum Passengers,4546
2010,<= 3500 kg,Articulated Vehicles,0
2010,<= 3500 kg,Cement Mixers,0
2010,<= 3500 kg,Tankers,8
2010,<= 3500 kg,Cranes,0
2010,<= 3500 kg,Recovery Vehicles,105
2010,<= 3500 kg,Refrigerated Vehicles,1499
2010,<= 3500 kg,Others,42
2010,3501 - 7000kg,Lorries,15855
2010,3501 - 7000kg,Tippers,311
2010,3501 - 7000kg,Vans,4910
